question_no,question,choice1,choice2,choice3,choice4,answer
1,"for x in range(2,10):
     print(x)",A)2 3 4 5 6 7 8 9 10,B)2 3 4 5 6 7 8 9,C)2 5 8,D)2 4 6 8,B
2,"for x in range(2, 6, 2):
    Print(x)",A)2 3 4 5 6,B)2 4 6,C)2 4,D)2,C
3,"a='innovate'
For a in range(2,5) 
print(a[i])'",A)nno,B)nov,C)char,D)None of the above,B
4,"a='abcdef' 
for i in range(0,3) 
print(a[i])'",A)abc,B)abcd,C)ab,D)None of the above,A
5,"for a in range(10):
print(a)
if a==5:break","A)[0,1,2,3,4]","B)[0,1,2,3,4,5]","C)[1,2,3,4]","D)[1,2,3,4,5]",B
6,"for a in range(10):
if(a==4):
   continue
print(a)","A)[0,1,2,3,4,5,6,7,8,9]","B)[0,1,2,3,4,5,6,7,8,9]","C)[0,1,2,3,5,6,7,8,9]","D)[0,1,2,3,5,6,7,8,9,10]",C
7,"for x in range(8,2,-1):
Print(x)","A)8,7,6,5,4,3,2","B)8,7,6,5,4,3","C)[8,7,6,5,4,32,3,4,5,6,7,8]","D)[2,3,4,5,6,7,8,9]",B
8,"for x in range(9):
if x%2==0:
Pass","A)[1,3,5,7,9]","B)[1,3,5,7]","C)[1,2,3,4,5,6,7,8]",Print Nothing,D
9,"count=0
while(count<3):
print(count)
Count=count+1 ",A) 0 1 2,"B)0,1,2,3","C)1,2","D)1,2,3",A
10,"i=0
for i in range(3,10):
   for j in range 2,i :
     If  i%j==0:
         break
   Else:
      Print i","A) 2,3,4,5,6,7,8,9","B)2,3,5,7,9","C)2,3,5,7","D)3,5,7",D
11,"I=0
while count<3:
  count=count+1
  print (count)
else:
  Print (“break”)",A) 0 1 2 break,"B) 1,2,break","C)0,1,2","D)1,2,3",A
12,"d = dict()  
d['xyz'] = 123 
d['abc'] = 345 
for i in d :     
   Print(""%s  %d"" %(i, d[i])) ",A) xyz 123 abc 345,"B) xyz 123
    Abc 345 ",C)xyz abc 123 345,"D)xyz abc
   123 345",B
